date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:39:54	76120/76120	---M--	200	added ('OK')	font/woff2	date:Fri,%2004%20Sep%202020%2012:18:14%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.woff2	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.woff2	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:54	99004/99004	---M--	200	added ('OK')	font/woff	date:Fri,%2004%20Sep%202020%2012:18:14%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.woff	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.woff	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:54	193792/193792	---M--	200	added ('OK')	font/ttf	date:Fri,%2004%20Sep%202020%2012:18:13%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.ttf	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.ttf	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:55	46250/46250	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Sep%202020%2012:18:15%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.eot	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.eot	(from https://themes.potenzaglobalsolutions.com/html/academic/css/flaticon/flaticon.css)
06:39:55	849240/849240	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2004%20Sep%202020%2012:18:13%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.svg	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/fa-solid-900.svg	(from https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css)
06:39:55	23752/23752	---M--	200	added ('OK')	font/woff2	date:Fri,%2004%20Sep%202020%2012:18:16%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.woff2	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.woff2	(from https://themes.potenzaglobalsolutions.com/html/academic/css/flaticon/flaticon.css)
06:39:55	46250/46250	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2004%20Sep%202020%2012:18:15%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.eot?	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticond41d.eot	(from https://themes.potenzaglobalsolutions.com/html/academic/css/flaticon/flaticon.css)
06:39:56	27712/27712	---M--	200	added ('OK')	font/woff	date:Fri,%2004%20Sep%202020%2012:18:16%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.woff	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.woff	(from https://themes.potenzaglobalsolutions.com/html/academic/css/flaticon/flaticon.css)
06:39:56	46072/46072	---M--	200	added ('OK')	font/ttf	date:Fri,%2004%20Sep%202020%2012:18:15%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.ttf	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.ttf	(from https://themes.potenzaglobalsolutions.com/html/academic/css/flaticon/flaticon.css)
06:39:56	318668/318668	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2004%20Sep%202020%2012:18:16%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.svg	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/fonts/Flaticon.svg	(from https://themes.potenzaglobalsolutions.com/html/academic/css/flaticon/flaticon.css)
